Fecha,Hora,Nombre,Calorias (kcal),Carbohidratos (g),Lípidos (g),Proteína (g),Sodio (mg)
05/08/2024,11:00,Gansito,95,57.10,16.8,3.6,198
05/08/2024,11:00,Yogurt,110,20.00,1.875,3.25,61.25
05/08/2024,16:00,Arroz blanco,128,29.33,0,2.66,25.33
05/08/2024,16:00,Filete de res,250,0.00,15,26,72
05/08/2024,16:00,Dr Pepper,270,11.20,0,0,8
05/08/2024,18:00,Galletas Triki Trakes,504,70.00,22.9,4.5,161
05/08/2024,20:00,Pan de muerto,198,31.23,5.48,5.41,176
06/08/2024,09:30,Gansito,95,57.10,16.8,3.6,198
06/08/2024,09:30,Flan,120,20.70,2.6,3.4,53
06/08/2024,16:00,Pollo,170,0.00,10.2,18.2,47
06/08/2024,18:00,Palomitas de maíz,423,46.80,23.4,7.2,2799
06/08/2024,20:00,Galletas Triki Trakes,504,70.00,22.9,4.5,161
06/08/2024,20:00,Pan de muerto,198,31.23,5.48,5.41,176
07/08/2024,09:30,Gansito,95,57.10,16.8,3.6,198
07/08/2024,09:30,Flan,120,20.70,2.6,3.4,53
07/08/2024,16:00,Dr Pepper,270,11.20,0,0,8
07/08/2024,16:00,Pan blanco,135,26.50,1.3,4.4,263
07/08/2024,16:00,Jamón de pavo,18.07,1.11,0.7,1.82,137.39
08/08/2024,08:00,Gansito,95,57.10,16.8,3.6,198
08/08/2024,08:00,Yogurt,110,20.00,1.875,3.25,61.25
08/08/2024,16:00,Filete de res,250,0.00,15,26,72
08/08/2024,16:00,Arroz blanco,128,29.33,0,2.66,25.33
09/08/2024,08:00,Gansito,95,57.10,16.8,3.6,198
09/08/2024,08:00,Galletas Triki Trakes,504,70.00,22.9,4.5,161
09/08/2024,16:00,Pollo,170,0.00,10.2,18.2,47
09/08/2024,16:00,Crema de elote,100,10.60,5,3,857
09/08/2024,16:00,Dr Pepper,270,11.20,0,0,8
09/08/2024,21:00,Chococrispis,115,25.00,0.5,2,180
10/08/2024,10:00,Gansito,95,57.10,16.8,3.6,198
10/08/2024,10:00,Chococrispis,115,25.00,0.5,2,180
10/08/2024,16:00,Whopper,483,43.00,22,24,1800
10/08/2024,16:00,Papas Adobadas,510,48.00,33,7,468
10/08/2024,16:00,Sidral Mundet,120,60.00,0,0,120
10/08/2024,19:00,Até,84,20.90,0,0.1,0
11/08/2024,10:00,Chococrispis,115,25.00,0.5,2,180
11/08/2024,17:00,Italiano BMT,380,41.00,16,19,1110
11/08/2024,17:00,Dr Pepper,270,11.20,0,0,8
12/08/2024,06:00,Pan Tostado,70,13.06,0.96,2.16,142
12/08/2024,06:00,Mermelada de Fresa,36,9.00,0,0,0
12/08/2024,08:00,Gansito,95,57.10,16.8,3.6,198
12/08/2024,08:00,Yogurt,110,20.00,1.875,3.25,61.25
12/08/2024,16:00,Sopa de Fideos,173,35.60,0.8,5.9,3
12/08/2024,16:00,Pollo,170,0.00,10.2,18.2,47
12/08/2024,17:00,Dr Pepper,270,11.20,0,0,8
13/08/2024,09:00,Pan Tostado,70,13.06,0.96,2.16,142
13/08/2024,09:00,Mermelada de Fresa,36,9.00,0,0,0
13/08/2024,09:00,Gansito,95,57.10,16.8,3.6,198
13/08/2024,09:00,Yogurt,110,20.00,1.875,3.25,61.25
13/08/2024,16:00,Lasaña,336,35.43,12.38,20.52,744
13/08/2024,16:00,Pan Rústico,70,17.00,1.5,2,65
13/08/2024,18:00,Papas Totis,460,57.00,24,5,500
14/08/2024,09:00,Pan Tostado,70,13.06,0.96,2.16,142
14/08/2024,09:00,Mermelada de Fresa,36,9.00,0,0,0
14/08/2024,09:00,Gansito,95,57.10,16.8,3.6,198
14/08/2024,09:00,Yogurt,110,20.00,1.875,3.25,61.25
14/08/2024,16:00,Sopa de Fideos,173,35.60,0.8,5.9,3
14/08/2024,16:00,Filete de res,250,0.00,15,26,72
14/08/2024,16:00,Pan Rústico,70,17.00,1.5,2,65
14/08/2024,18:00,Palomitas de maíz,423,46.80,23.4,7.2,2799
15/08/2024,06:00,Gansito,95,57.10,16.8,3.6,198
15/08/2024,06:00,Yogurt,110,20.00,1.875,3.25,61.25
15/08/2024,13:00,Pan blanco,135,26.50,1.3,4.4,263
15/08/2024,13:00,Jamón de pavo,18.07,1.11,0.7,1.82,137.39
15/08/2024,16:00,Hamburguesa,270,26.81,10.97,14.61,369
15/08/2024,16:00,Papas a la francesa,156,20.33,8.01,1.98,171
